Rank,Rank 2023,Rank 2022,Name,Country,Sector,Absolute Growth Rate (%),Compound Annual Growth Rate (%),Revenue 2022 (€),Revenue 2019 (€),Number of employees 2022,Number of employees 2019,Founding Year
620,693.0,,Zara,Italy,Manufacturing,265.3,54.0,5703144,1561061,6,4.0,1984
621,320.0,248.0,Spiideo,Sweden,IT & Software,264.8,53.9,7681666,2245873,71,18.0,2012
622,168.0,,Hammonia Oleo,Germany,Chemicals,264.4,53.9,22531928,6182511,12,8.0,2017
623,,,Personal-Helden,Germany,Employment Services,264.4,53.9,2065181,566677,30,10.0,2018
624,411.0,470.0,Parcel Compare,UK,Logistics & Transportation,263.2,53.7,10179125,2937533,30,25.0,1998
625,412.0,896.0,I-Particuliers,France,Real Estate,262.7,53.6,9972400,2749611,12,6.0,2011
626,,,power2Cloud,Italy,IT & Software,259.5,53.2,1766696,491470,9,6.0,2016
627,,,Diro Legno,Italy,Construction & Engineering,259.4,53.2,5175000,1440000,6,3.0,2017
628,566.0,,Non-Stop dogwear,Norway,Apparel & Fashion,259.3,53.2,17531715,5197824,42,16.0,2009
629,,,MRPeasy,Estonia,IT & Software,258.1,53.0,3621682,1011453,27,10.0,2014
630,335.0,365.0,Xalient,UK,IT & Software,257.5,52.9,42355475,12417829,161,54.0,2015
631,540.0,,Awesome Software,Germany,IT & Software,257.2,52.9,8638164,2418025,32,22.0,2015
632,,,Stromkontor,Germany,Energy & Utilities,256.3,52.7,74203000,20826000,33,15.0,2015
633,492.0,456.0,Legimi,Poland,Leisure & Entertainment,256.3,52.7,13209232,4096914,37,15.0,2009
634,,,Manuel Costruzioni Generali,Italy,Construction & Engineering,253.5,52.3,3459961,978844,32,16.0,2010
635,748.0,,SomosSapiens,Spain,Advertising & Marketing,252.1,52.1,41375327,11752325,35,24.0,2019
636,831.0,922.0,Sweef,Sweden,Retail,251.7,52.1,19521475,5920882,34,11.0,2011
637,,,Onemedia Consulting,Germany,IT & Software,251.6,52.1,2184248,621278,16,4.0,2012
638,,,Heim Grünanlagenbau,Germany,Construction & Engineering,251.2,52.0,9788466,2786820,47,14.0,2010
639,,,Eligo,Italy,Apparel & Fashion,251.2,52.0,2063441,587619,5,2.0,2016
640,652.0,216.0,ID Finance,Spain,"Fintech, Fin Serv & Insurance",251.1,52.0,170021000,48421000,432,365.0,2015
641,366.0,,Storeis,Italy,Advertising & Marketing,251.0,52.0,4251000,1211000,54,19.0,2018
642,942.0,,Calicantus,Italy,Advertising & Marketing,251.0,52.0,16908167,4817397,28,20.0,2007
643,,249.0,ContractPodAi,UK,IT & Software,250.6,51.9,16311002,4875494,322,76.0,2012
644,,,Finbourne Technology,UK,"Fintech, Fin Serv & Insurance",250.4,51.9,15722123,4702039,187,53.0,2016
645,,,greenist,Germany,Ecommerce,249.2,51.7,5006230,1433810,38,4.0,2016
646,,,Anaxago,France,"Fintech, Fin Serv & Insurance",248.1,51.6,14458000,4153183,50,30.0,2012
647,419.0,,Grenergy,Spain,Energy & Utilities,246.7,51.4,293000000,84500000,289,142.0,2007
648,,,Natural Food Service,Italy,Wholesale,246.4,51.3,39879084,11513454,70,11.0,2011
649,203.0,107.0,Abylon Consulting,Hungary,IT & Software,245.8,51.2,2553128,893373,37,5.0,2016
650,,,Expera Conseils,France,Legal & Accounting Services,245.6,51.2,2229770,645231,26,6.0,2013
651,,,Vitesse PSP,UK,"Fintech, Fin Serv & Insurance",245.5,51.2,12218152,3706376,124,37.0,2013
652,295.0,293.0,Plásticos Dão,Portugal,Manufacturing,245.1,51.1,4654023,1348554,29,12.0,2012
653,,547.0,Sendcloud,Netherlands,IT & Software,244.9,51.1,25172987,7297885,459,123.0,2012
654,494.0,419.0,Superprof,France,Education & Social Services,244.9,51.1,24028203,6966142,201,88.0,2013
655,871.0,,Standard Fuel Oils,UK,Energy & Utilities,244.4,51.0,286240464,87111463,42,22.0,2011
656,,,Tecs,Italy,Energy & Utilities,244.3,51.0,2161533,627743,13,8.0,2016
657,561.0,,Zahnriemen24,Germany,Ecommerce,243.8,50.9,4800209,1396066,19,11.0,2009
658,,,Jurassicfruit,Germany,Hospitality & Travel,243.8,50.9,2556645,743657,28,13.0,2015
659,,,Air Innovation,Italy,Construction & Engineering,243.6,50.9,7977700,2321594,33,19.0,2014
